# resize result=0 target={1080.0,720.0} actual={1080.0,720.0}
# ax-frames pid=66165 nodes=71
id=session-fx-ses-beta-long role=AXRow x=1020.0 y=728.0 w=200.0 h=44.0
id=session-fx-ses-beta-cancelled role=AXRow x=1020.0 y=772.0 w=200.0 h=44.0
id=project-Earlier_3afx-alpha-app role=AXButton x=1020.0 y=824.0 w=200.0 h=44.0
id=project-add-Earlier_3afx-alpha-app role=AXButton x=1192.0 y=832.0 w=28.0 h=28.0
id=session-fx-ses-alpha-yesterday role=AXRow x=1020.0 y=870.0 w=200.0 h=44.0
id=session-fx-ses-alpha-longtitle role=AXRow x=1020.0 y=914.0 w=200.0 h=44.0
id=header-title role=AXStaticText x=1268.0 y=266.0 w=340.0 h=24.0
id=header-branch role=AXStaticText x=1643.0 y=266.0 w=120.0 h=24.0
id=header-new-task role=AXButton x=2015.0 y=259.5 w=40.0 h=37.0
id=timeline-entry-evt-run-gui-1787959615365-1-71 role=AXRow x=1248.0 y=320.0 w=824.0 h=52.0
id=timeline-entry-evt-run-gui-1787959615365-1-72 role=AXRow x=1248.0 y=372.0 w=824.0 h=52.0
id=run-summary-evt-run-gui-1787959615365-1-75 role=AXGroup x=1248.0 y=424.0 w=824.0 h=52.0
id=timeline-entry-local-echo-run-gui-1787959633176-1 role=AXRow x=1248.0 y=476.0 w=824.0 h=52.0
id=timeline-entry-app-evt-1 role=AXRow x=1248.0 y=528.0 w=824.0 h=52.0
id=timeline-entry-app-evt-2 role=AXRow x=1248.0 y=580.0 w=824.0 h=52.0
id=run-summary-app-evt-5 role=AXGroup x=1248.0 y=632.0 w=824.0 h=52.0
id=timeline-entry-local-echo-run-gui-1787959636088-2 role=AXRow x=1248.0 y=684.0 w=824.0 h=52.0
id=timeline-entry-app-evt-6 role=AXRow x=1248.0 y=736.0 w=824.0 h=52.0
id=run-summary-app-evt-7 role=AXGroup x=1248.0 y=788.0 w=824.0 h=52.0
id=composer-input role=AXTextArea x=1248.0 y=821.0 w=784.0 h=35.0
id=model-picker role=AXButton x=1248.0 y=864.0 w=220.0 h=28.0
id=send role=AXButton x=2040.0 y=864.0 w=32.0 h=32.0
id=entry-menu-evt-run-gui-1787959615365-1-72 role=AXButton x=2040.0 y=372.0 w=32.0 h=28.0
id=run-summary-card-evt-run-gui-1787959615365-1-75 role=AXStaticText x=1248.0 y=424.0 w=824.0 h=40.0
id=run-review-changes-evt-run-gui-1787959615365-1-75 role=AXButton x=1904.0 y=424.0 w=168.0 h=40.0
id=run-footer-evt-run-gui-1787959615365-1-75 role=AXStaticText x=1248.0 y=488.0 w=824.0 h=32.0
id=timeline-entry-evt-run-gui-1787959615365-1-75 role=AXRow x=1248.0 y=424.0 w=824.0 h=52.0
id=entry-menu-local-echo-run-gui-1787959633176-1 role=AXButton x=2040.0 y=476.0 w=32.0 h=28.0
id=entry-menu-app-evt-2 role=AXButton x=2040.0 y=580.0 w=32.0 h=28.0
id=run-summary-card-app-evt-5 role=AXStaticText x=1248.0 y=632.0 w=824.0 h=40.0
id=run-review-changes-app-evt-5 role=AXButton x=1904.0 y=632.0 w=168.0 h=40.0
id=run-footer-app-evt-5 role=AXStaticText x=1248.0 y=696.0 w=824.0 h=32.0
id=timeline-entry-app-evt-5 role=AXRow x=1248.0 y=632.0 w=824.0 h=52.0
id=entry-menu-local-echo-run-gui-1787959636088-2 role=AXButton x=2040.0 y=684.0 w=32.0 h=28.0
id=run-summary-card-app-evt-7 role=AXStaticText x=1248.0 y=788.0 w=824.0 h=40.0
id=run-review-changes-app-evt-7 role=AXButton x=1904.0 y=788.0 w=168.0 h=40.0
id=run-footer-app-evt-7 role=AXStaticText x=1248.0 y=852.0 w=824.0 h=32.0
id=timeline-entry-app-evt-7 role=AXRow x=1248.0 y=788.0 w=824.0 h=52.0
id=entry-menu-evt-run-gui-1787959615365-1-75 role=AXButton x=2040.0 y=448.0 w=32.0 h=28.0
id=entry-menu-app-evt-5 role=AXButton x=2040.0 y=656.0 w=32.0 h=28.0
id=entry-menu-app-evt-7 role=AXButton x=2040.0 y=812.0 w=32.0 h=28.0
